product_id,product_name,category,brand,cost_price,selling_price,stock,product_status
524,Up-sized fresh-thinking implementation,Clothing,Nestle,19769.86,20799.99,20,Active
603,Re-contextualized empowering circuit,Unknown_Category,LG,45778.64,51074.24,307,Active
527,Persistent tangible hierarchy,Beauty,Levis,44728.53,62512.72,428,Active
32,Stand-alone multi-tasking secured line,Beauty,Levis,39917.56,52954.61,201,Active
617,Optimized fault-tolerant attitude,Beauty,Apple,36391.61,39194.38,70,Inactive
586,Public-key system-worthy success,Toys,Apple,23891.56,27395.52,92,Inactive
445,Intuitive human-resource service-desk,Toys,Nestle,3257.69,3835.54,64,Active
733,Synergized holistic Graphical User Interface,Books,Levis,4177.77,6069.19,132,Active
77,Synergistic mobile instruction set,Electronics,Levis,29310.3,41243.19,397,Inactive
412,Pre-emptive systematic application,Books,Levis,14405.88,19237.42,149,Active
569,Expanded real-time help-desk,Grocery,Adidas,2795.83,3201.1,152,Active
71,,Books,LG,2576.37,3029.59,255,Active
676,Profound cohesive database,Beauty,Levis,32148.32,37558.05,82,Inactive
102,Robust content-based concept,Grocery,Nike,36167.52,50983.03,23,Active
895,De-engineered holistic help-desk,Books,Levis,47231.46,56371.92,243,Inactive
926,Vision-oriented 4thgeneration array,Grocery,Adidas,24272.7,34174.81,291,Active
630,Versatile contextually-based Graphical User Interface,Books,Samsung,46771.36,69362.26,3,Active
300,Face-to-face foreground adapter,Toys,Puma,34594.45,42413.2,283,Active
925,Mandatory upward-trending interface,Books,Sony,48980.35,69447.11,168,Active
425,Proactive context-sensitive functionalities,Toys,Puma,30711.32,41948.25,367,Inactive
97,Face-to-face dynamic concept,Beauty,LG,27209.3,36644.18,105,Inactive
901,Self-enabling next generation productivity,Electronics,Levis,47223.2,68464.3,255,Active
261,Upgradable web-enabled standardization,Electronics,Nestle,6246.1,6942.41,491,Inactive
351,Front-line zero-defect help-desk,Books,Samsung,43172.09,51307.92,302,Active
529,Integrated real-time solution,Clothing,Nike,27755.38,37514.55,393,Active
695,Intuitive methodical Graphical User Interface,Toys,Adidas,15319.05,21313.19,208,Inactive
362,Optional scalable architecture,Sports,Apple,31839.81,34306.34,-10,Inactive
612,Re-engineered systematic parallelism,Sports,Adidas,15914.86,20428.98,98,Inactive
885,Visionary upward-trending pricing structure,Grocery,Philips,20174.82,-100.0,62,Active
721,Innovative client-server customer loyalty,Clothing,Nestle,39862.52,55776.97,332,Inactive
487,Profit-focused web-enabled Graphical User Interface,Clothing,Apple,37074.7,54715.61,95,Active
694,Organic logistical throughput,Home,Samsung,7849.08,9537.9,169,Active
679,Fully-configurable reciprocal leverage,Books,Adidas,1065.94,1425.87,31,Inactive
810,Universal demand-driven conglomeration,Beauty,Apple,26570.34,37269.98,132,Active
409,Persistent coherent support,Beauty,Adidas,45486.11,56904.85,405,Active
741,Secured next generation customer loyalty,Books,Nestle,42602.56,46010.68,496,Active
214,Devolved content-based parallelism,Grocery,Samsung,41285.23,59118.73,375,Active
590,Object-based user-facing customer loyalty,Toys,Nestle,14137.88,20972.22,169,Active
366,Team-oriented executive concept,Sports,Apple,37592.28,55002.38,336,Active
200,Right-sized radical help-desk,Sports,Nestle,21842.18,23589.69,217,Active
637,User-friendly interactive installation,Grocery,Puma,18720.66,19879.2,189,Inactive
629,Business-focused client-driven middleware,Home,Samsung,29257.42,41746.79,181,Inactive
829,Programmable user-facing framework,Electronics,Adidas,8754.63,12800.42,391,Active
353,Adaptive 3rdgeneration emulation,Books,Nike,25290.11,37890.93,395,Inactive
330,Focused interactive architecture,Toys,Puma,39583.26,47436.94,405,Inactive
982,De-engineered global matrices,Sports,Nike,27927.34,41222.78,461,Active
838,Focused even-keeled process improvement,Sports,Philips,40338.79,58389.61,325,Active
245,Digitized zero tolerance infrastructure,Clothing,Philips,4163.99,5080.73,400,Inactive
287,Intuitive well-modulated architecture,Beauty,Nike,22344.02,27230.33,270,Inactive
290,Decentralized scalable knowledge user,Toys,Puma,45271.08,55474.79,350,Inactive
599,Synergistic dynamic frame,Toys,Puma,37224.26,44035.2,304,Inactive
762,Implemented heuristic middleware,Toys,Nestle,45553.93,63773.09,307,Inactive
60,Secured needs-based concept,Toys,Philips,904.31,1044.38,285,Inactive
623,Inverse system-worthy strategy,Home,Samsung,26901.17,34435.6,134,Inactive
319,Re-engineered optimal orchestration,Beauty,Samsung,21132.1,25407.94,419,Active
